"","Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"1","05/12/2024",7.33054,7.28272,7.351,7.28272,"82,65M","0,37%"
"2","04/12/2024",7.30328,7.26172,7.32286,7.25743,"73,10M","0,66%"
"3","03/12/2024",7.25542,7.24474,7.31987,7.22892,"73,18M","0,26%"
"4","02/12/2024",7.23689,7.14737,7.27597,7.14602,"98,82M","0,02%"
"5","29/11/2024",7.23511,7.1513,7.24107,7.14774,"66,53M","0,78%"
"6","28/11/2024",7.17925,7.17091,7.20707,7.16172,"56,38M","0,51%"
"7","27/11/2024",7.14303,7.15002,7.15642,7.09115,"77,02M","-0,72%"
"8","26/11/2024",7.19451,7.20165,7.25678,7.18549,"68,77M","-0,87%"
"9","25/11/2024",7.25747,7.32948,7.33323,7.23938,"122,96M","0,03%"
"10","22/11/2024",7.25501,7.25064,7.27106,7.15623,"71,96M","0,58%"
"11","21/11/2024",7.21332,7.1852,7.2236,7.13121,"53,38M","0,21%"
"12","20/11/2024",7.19845,7.27273,7.28039,7.18842,"55,75M","-0,43%"
"13","19/11/2024",7.22964,7.28746,7.30119,7.13483,"64,62M","-0,67%"
"14","18/11/2024",7.27823,7.2744,7.28978,7.23459,"50,15M","0,12%"
"15","15/11/2024",7.26963,7.25658,7.31953,7.23648,"66,90M","-0,58%"
"16","14/11/2024",7.3118,7.24792,7.31909,7.22005,"71,04M","1,32%"
"17","13/11/2024",7.21683,7.21749,7.25647,7.15825,"62,93M","-0,14%"
"18","12/11/2024",7.22698,7.34672,7.36528,7.21778,"78,45M","-2,69%"
"19","11/11/2024",7.42688,7.39509,7.4526,7.38752,"56,32M","1,20%"
"20","08/11/2024",7.33867,7.44012,7.44095,7.33021,"67,22M","-1,17%"
"21","07/11/2024",7.4256,7.37319,7.45,7.35428,"86,93M","0,76%"
"22","06/11/2024",7.36961,7.44437,7.57214,7.33835,"108,20M","-0,51%"
"23","05/11/2024",7.40715,7.37758,7.41482,7.35,"47,13M","0,48%"
"24","04/11/2024",7.37171,7.38632,7.44596,7.37171,"45,72M","-0,50%"
"25","01/11/2024",7.40911,7.36408,7.43426,7.3582,"56,97M","0,80%"
"26","31/10/2024",7.35037,7.3841,7.39325,7.31597,"103,05M","-1,05%"
"27","30/10/2024",7.42836,7.4521,7.47069,7.37739,"69,88M","-1,10%"
"28","29/10/2024",7.51111,7.59386,7.61832,7.50652,"55,43M","-0,61%"
"29","28/10/2024",7.55694,7.54213,7.58068,7.49493,"53,21M","0,79%"
"30","25/10/2024",7.49754,7.48987,7.51875,7.45941,"50,45M","-0,08%"
"31","24/10/2024",7.50328,7.52764,7.56539,7.50302,"63,32M","0,08%"
"32","23/10/2024",7.49748,7.49325,7.5447,7.46858,"51,67M","-0,50%"
"33","22/10/2024",7.5351,7.51703,7.54536,7.47216,"50,56M","-0,01%"
"34","21/10/2024",7.53623,7.57908,7.62046,7.52968,"47,26M","-1,01%"
"35","18/10/2024",7.61305,7.56687,7.64405,7.56687,"62,95M","0,39%"
"36","17/10/2024",7.58373,7.51013,7.62422,7.50795,"60,45M","1,22%"
"37","16/10/2024",7.492,7.42085,7.5111,7.42085,"64,50M","-0,40%"
"38","15/10/2024",7.52197,7.59506,7.60153,7.51124,"73,15M","-1,05%"
"39","14/10/2024",7.60206,7.58348,7.61315,7.54454,"43,69M","0,32%"
