"","Pays","Sexe","Age","Taille"
"1","Belarus","Boys",5.3,121
"2","Belarus","Boys",11.9,149.8
"3","Belarus","Boys",18.2,174.7
"4","Belarus","Boys",11.5,149.6
"5","Belarus","Boys",6.5,125.2
"6","Belarus","Boys",18.3,174
"7","Belarus","Boys",5.7,118.6
"8","Belarus","Boys",7.2,129
"9","Belarus","Boys",17.7,171.6
"10","Belarus","Boys",16.2,174.6
"11","Belarus","Boys",13.4,164.6
"12","Belarus","Boys",7.6,128.8
"13","Belarus","Boys",15.2,171.8
"14","Belarus","Boys",6.2,129.8
"15","Belarus","Boys",13.4,161.6
"16","Belarus","Boys",5.6,116.3
"17","Belarus","Boys",9.1,140.5
"18","Belarus","Boys",14.4,166.1
"19","Belarus","Boys",12.1,149.5
"20","Belarus","Boys",5.2,112.7
"21","Belarus","Boys",15.6,169.8
"22","Belarus","Boys",5.5,118.3
"23","Belarus","Boys",15.2,168.9
"24","Belarus","Boys",9.8,141.8
"25","Belarus","Boys",7.1,126.2
"26","Belarus","Boys",9,136.2
"27","Belarus","Boys",7.5,133.4
"28","Belarus","Boys",18.5,177.3
"29","Belarus","Boys",16.1,182.6
"30","Belarus","Boys",7.5,129.1
"31","Belarus","Boys",16.8,179
"32","Belarus","Boys",10.6,140.6
"33","Belarus","Boys",9.8,144.3
"34","Belarus","Boys",5.5,118.1
"35","Belarus","Boys",11.9,151.6
"36","Belarus","Boys",7.8,132.6
"37","Belarus","Boys",12.7,161.2
"38","Belarus","Boys",10.3,147.9
"39","Belarus","Boys",7.5,130.2
"40","Belarus","Boys",15.7,171.5
"41","Belarus","Boys",7.9,131.2
"42","Belarus","Boys",15,170.6
"43","Belarus","Boys",18.9,178.6
"44","Belarus","Boys",6.1,117.1
"45","Belarus","Boys",5.1,114.3
"46","Belarus","Boys",16,169.9
"47","Belarus","Boys",10.7,143.3
"48","Belarus","Boys",10.9,146.1
"49","Belarus","Boys",10.9,151.8
"50","Belarus","Boys",6.3,121.8
"51","Belarus","Boys",14.2,170.3
"52","Belarus","Boys",11,151.2
"53","Belarus","Boys",15.2,170.5
"54","Belarus","Boys",17.9,180.3
"55","Belarus","Boys",10.2,148.8
"56","Belarus","Boys",7.4,133.1
"57","Belarus","Boys",15.1,170.9
"58","Belarus","Boys",6.2,118.5
"59","Belarus","Boys",12.9,158.3
"60","Belarus","Boys",8.9,132.9
"61","Belarus","Boys",10.4,143.8
"62","Belarus","Boys",5.2,116.4
"63","Belarus","Boys",9.8,137.4
"64","Belarus","Boys",14.1,168.1
"65","Belarus","Boys",11.4,148.9
"66","Belarus","Boys",17.3,175.1
"67","Belarus","Boys",17.1,175.7
"68","Belarus","Boys",17.1,179.7
